"Date","Price","Open","High","Low","Change %"
"Nov 15, 2019","0.1427","0.1424","0.1429","0.1424","0.18%"
"Nov 14, 2019","0.1424","0.1424","0.1426","0.1424","0.00%"
"Nov 13, 2019","0.1424","0.1427","0.1427","0.1423","-0.21%"
"Nov 12, 2019","0.1427","0.1426","0.1429","0.1426","0.07%"
"Nov 11, 2019","0.1426","0.1429","0.1431","0.1426","-0.21%"
"Nov 08, 2019","0.1429","0.1434","0.1436","0.1429","-0.28%"
"Nov 07, 2019","0.1433","0.1429","0.1434","0.1424","0.28%"
"Nov 06, 2019","0.1429","0.1429","0.1430","0.1427","0.21%"
"Nov 05, 2019","0.1426","0.1422","0.1431","0.1422","0.28%"
"Nov 04, 2019","0.1422","0.1421","0.1424","0.1421","0.07%"
"Nov 01, 2019","0.1421","0.1420","0.1421","0.1418","0.00%"
"Oct 31, 2019","0.1421","0.1419","0.1422","0.1419","0.28%"
"Oct 30, 2019","0.1417","0.1416","0.1417","0.1416","0.14%"
"Oct 29, 2019","0.1415","0.1415","0.1418","0.1414","0.00%"
"Oct 28, 2019","0.1415","0.1415","0.1418","0.1413","0.00%"
"Oct 25, 2019","0.1415","0.1413","0.1415","0.1413","0.07%"
"Oct 24, 2019","0.1414","0.1414","0.1417","0.1414","-0.14%"
"Oct 23, 2019","0.1416","0.1414","0.1416","0.1411","0.21%"
"Oct 22, 2019","0.1413","0.1413","0.1414","0.1411","0.00%"
"Oct 21, 2019","0.1413","0.1412","0.1415","0.1412","0.07%"
"Oct 18, 2019","0.1412","0.1413","0.1415","0.1410","-0.07%"
"Oct 17, 2019","0.1413","0.1407","0.1414","0.1407","0.28%"
"Oct 16, 2019","0.1409","0.1409","0.1411","0.1407","-0.21%"
"Oct 15, 2019","0.1412","0.1415","0.1416","0.1411","-0.21%"
"Oct 14, 2019","0.1415","0.1412","0.1419","0.1412","0.28%"
"Oct 11, 2019","0.1411","0.1405","0.1411","0.1405","0.43%"
"Oct 10, 2019","0.1405","0.1402","0.1407","0.1402","0.21%"
"Oct 09, 2019","0.1402","0.1399","0.1404","0.1398","0.21%"
"Oct 08, 2019","0.1399","0.1403","0.1404","0.1399","0.00%"
"Oct 07, 2019","0.1399","0.1399","0.1399","0.1399","0.00%"
"Oct 04, 2019","0.1399","0.1399","0.1399","0.1399","0.00%"
"Oct 03, 2019","0.1399","0.1399","0.1399","0.1399","0.00%"
"Oct 02, 2019","0.1399","0.1399","0.1399","0.1399","0.00%"
"Oct 01, 2019","0.1399","0.1399","0.1399","0.1399","0.00%"
"Sep 30, 2019","0.1399","0.1402","0.1405","0.1399","-0.36%"
"Sep 27, 2019","0.1404","0.1402","0.1404","0.1401","0.14%"
"Sep 26, 2019","0.1402","0.1404","0.1405","0.1401","0.00%"
"Sep 25, 2019","0.1402","0.1405","0.1407","0.1401","-0.28%"
"Sep 24, 2019","0.1406","0.1404","0.1409","0.1404","0.14%"
"Sep 23, 2019","0.1404","0.1411","0.1411","0.1404","-0.43%"
"Sep 20, 2019","0.1410","0.1409","0.1412","0.1409","0.07%"
"Sep 19, 2019","0.1409","0.1411","0.1411","0.1407","-0.14%"
"Sep 18, 2019","0.1411","0.1410","0.1412","0.1410","0.07%"
"Sep 17, 2019","0.1410","0.1415","0.1415","0.1409","-0.35%"
"Sep 16, 2019","0.1415","0.1412","0.1416","0.1412","0.21%"
"Sep 13, 2019","0.1412","0.1412","0.1412","0.1412","0.00%"
"Sep 12, 2019","0.1412","0.1409","0.1414","0.1409","0.50%"
"Sep 11, 2019","0.1405","0.1404","0.1407","0.1404","-0.07%"
"Sep 10, 2019","0.1406","0.1404","0.1408","0.1404","0.14%"
"Sep 09, 2019","0.1404","0.1405","0.1405","0.1401","-0.14%"
"Sep 06, 2019","0.1406","0.1399","0.1406","0.1398","0.50%"
"Sep 05, 2019","0.1399","0.1398","0.1404","0.1397","0.00%"
"Sep 04, 2019","0.1399","0.1394","0.1400","0.1394","0.43%"
"Sep 03, 2019","0.1393","0.1393","0.1394","0.1391","-0.07%"
"Sep 02, 2019","0.1394","0.1397","0.1397","0.1393","-0.29%"
"Aug 30, 2019","0.1398","0.1399","0.1401","0.1396","-0.07%"
"Aug 29, 2019","0.1399","0.1396","0.1401","0.1394","0.21%"
"Aug 28, 2019","0.1396","0.1396","0.1398","0.1396","0.00%"
"Aug 27, 2019","0.1396","0.1399","0.1399","0.1396","-0.21%"
"Aug 26, 2019","0.1399","0.1401","0.1401","0.1398","-0.71%"
"Aug 23, 2019","0.1409","0.1409","0.1414","0.1409","-0.21%"
"Aug 22, 2019","0.1412","0.1415","0.1416","0.1409","-0.28%"
"Aug 21, 2019","0.1416","0.1416","0.1418","0.1414","0.00%"
"Aug 20, 2019","0.1416","0.1418","0.1418","0.1414","-0.14%"
"Aug 19, 2019","0.1418","0.1420","0.1421","0.1418","-0.14%"
"Aug 16, 2019","0.1420","0.1421","0.1421","0.1419","-0.07%"
"Aug 15, 2019","0.1421","0.1422","0.1426","0.1419","-0.21%"
"Aug 14, 2019","0.1424","0.1424","0.1426","0.1422","0.28%"
"Aug 13, 2019","0.1420","0.1417","0.1421","0.1415","0.21%"
"Aug 12, 2019","0.1417","0.1415","0.1417","0.1414","0.07%"
"Aug 09, 2019","0.1416","0.1419","0.1419","0.1415","-0.21%"
"Aug 08, 2019","0.1419","0.1416","0.1421","0.1416","0.21%"
"Aug 07, 2019","0.1416","0.1421","0.1422","0.1414","-0.56%"
"Aug 06, 2019","0.1424","0.1419","0.1426","0.1416","0.42%"
"Aug 05, 2019","0.1418","0.1425","0.1427","0.1418","-1.60%"
"Aug 02, 2019","0.1441","0.1449","0.1449","0.1439","-0.55%"
"Aug 01, 2019","0.1449","0.1452","0.1452","0.1449","-0.21%"
"Jul 31, 2019","0.1452","0.1452","0.1454","0.1452","0.00%"
"Jul 30, 2019","0.1452","0.1452","0.1454","0.1451","0.07%"
"Jul 29, 2019","0.1451","0.1454","0.1454","0.1449","-0.21%"
"Jul 26, 2019","0.1454","0.1455","0.1455","0.1453","-0.07%"
"Jul 25, 2019","0.1455","0.1455","0.1455","0.1453","0.00%"
"Jul 24, 2019","0.1455","0.1454","0.1455","0.1452","0.07%"
"Jul 23, 2019","0.1454","0.1453","0.1454","0.1452","0.07%"
"Jul 22, 2019","0.1453","0.1453","0.1454","0.1452","0.00%"
"Jul 19, 2019","0.1453","0.1454","0.1455","0.1453","-0.07%"
"Jul 18, 2019","0.1454","0.1454","0.1456","0.1452","-0.07%"
"Jul 17, 2019","0.1455","0.1454","0.1455","0.1452","0.07%"
"Jul 16, 2019","0.1454","0.1454","0.1455","0.1453","0.00%"
"Jul 15, 2019","0.1454","0.1453","0.1455","0.1452","0.00%"
"Jul 12, 2019","0.1454","0.1456","0.1457","0.1452","-0.14%"
"Jul 11, 2019","0.1456","0.1454","0.1459","0.1454","0.14%"
"Jul 10, 2019","0.1454","0.1452","0.1456","0.1452","0.14%"
"Jul 09, 2019","0.1452","0.1453","0.1455","0.1452","-0.07%"
"Jul 08, 2019","0.1453","0.1450","0.1454","0.1450","0.14%"
"Jul 05, 2019","0.1451","0.1456","0.1456","0.1451","-0.34%"
"Jul 04, 2019","0.1456","0.1454","0.1457","0.1454","0.21%"
"Jul 03, 2019","0.1453","0.1453","0.1454","0.1450","-0.14%"
"Jul 02, 2019","0.1455","0.1459","0.1459","0.1452","-0.27%"
"Jul 01, 2019","0.1459","0.1457","0.1464","0.1457","0.14%"
"Jun 28, 2019","0.1457","0.1454","0.1459","0.1454","0.21%"
"Jun 27, 2019","0.1454","0.1453","0.1454","0.1452","0.00%"
"Jun 26, 2019","0.1454","0.1452","0.1457","0.1451","0.00%"
"Jun 25, 2019","0.1454","0.1456","0.1457","0.1452","0.00%"
"Jun 24, 2019","0.1454","0.1456","0.1457","0.1453","-0.14%"
"Jun 21, 2019","0.1456","0.1459","0.1464","0.1454","-0.21%"
"Jun 20, 2019","0.1459","0.1451","0.1462","0.1451","0.69%"
"Jun 19, 2019","0.1449","0.1449","0.1449","0.1447","0.00%"
"Jun 18, 2019","0.1449","0.1444","0.1449","0.1444","0.35%"
"Jun 17, 2019","0.1444","0.1444","0.1445","0.1443","0.00%"
"Jun 14, 2019","0.1444","0.1444","0.1445","0.1443","-0.07%"
"Jun 13, 2019","0.1445","0.1445","0.1446","0.1444","-0.07%"
"Jun 12, 2019","0.1446","0.1447","0.1447","0.1444","-0.07%"
"Jun 11, 2019","0.1447","0.1442","0.1447","0.1442","0.28%"
"Jun 10, 2019","0.1443","0.1444","0.1444","0.1441","-0.28%"
"Jun 07, 2019","0.1447","0.1448","0.1448","0.1447","0.00%"
"Jun 06, 2019","0.1447","0.1447","0.1447","0.1446","0.00%"
"Jun 05, 2019","0.1447","0.1447","0.1449","0.1447","0.00%"
"Jun 04, 2019","0.1447","0.1449","0.1451","0.1447","-0.14%"
"Jun 03, 2019","0.1449","0.1449","0.1451","0.1447","0.00%"
"May 31, 2019","0.1449","0.1449","0.1449","0.1446","0.00%"
"May 30, 2019","0.1449","0.1446","0.1449","0.1446","0.21%"
"May 29, 2019","0.1446","0.1446","0.1447","0.1445","-0.07%"
"May 28, 2019","0.1447","0.1449","0.1449","0.1447","-0.21%"
"May 27, 2019","0.1450","0.1449","0.1453","0.1449","0.07%"
"May 24, 2019","0.1449","0.1447","0.1449","0.1446","0.14%"
"May 23, 2019","0.1447","0.1447","0.1447","0.1444","-0.07%"
"May 22, 2019","0.1448","0.1448","0.1449","0.1445","-0.07%"
"May 21, 2019","0.1449","0.1447","0.1449","0.1446","0.14%"
"May 20, 2019","0.1447","0.1449","0.1449","0.1446","0.14%"
"May 17, 2019","0.1445","0.1452","0.1452","0.1445","-0.55%"
"May 16, 2019","0.1453","0.1454","0.1455","0.1452","-0.07%"
"May 15, 2019","0.1454","0.1454","0.1457","0.1452","0.00%"
"May 14, 2019","0.1454","0.1454","0.1457","0.1452","0.00%"
"May 13, 2019","0.1454","0.1466","0.1466","0.1454","-0.82%"
"May 10, 2019","0.1466","0.1464","0.1472","0.1464","0.14%"
"May 09, 2019","0.1464","0.1474","0.1474","0.1464","-0.68%"
"May 08, 2019","0.1474","0.1475","0.1479","0.1474","-0.07%"
"May 07, 2019","0.1475","0.1479","0.1479","0.1474","-0.20%"
"May 06, 2019","0.1478","0.1486","0.1486","0.1472","-0.47%"
"May 03, 2019","0.1485","0.1485","0.1485","0.1484","0.00%"
"May 02, 2019","0.1485","0.1485","0.1485","0.1484","0.07%"
"May 01, 2019","0.1484","0.1485","0.1485","0.1484","-0.07%"
"Apr 30, 2019","0.1485","0.1485","0.1485","0.1483","0.00%"
"Apr 29, 2019","0.1485","0.1486","0.1486","0.1484","-0.07%"
"Apr 26, 2019","0.1486","0.1483","0.1487","0.1483","0.20%"
"Apr 25, 2019","0.1483","0.1487","0.1487","0.1481","-0.27%"
